POA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2600,0,0,0,5,5,0,0,0,0,15,0,0,0,17,3,3,14,0,0,43,0,0,0,0,8,3,0,8,0,23,0,0,3,7,9,10,15,0,3,40,0,3,0,3,0,0,3,0,0,12,0,0,7,12,14,4,3,0,0,45,0,0,0,0,3,0,0,0,0,7,0,3,0,17,11,4,3,0,0,36,0,0,0,5,0,3,0,0,0,8,0,0,4,10,6,3,0,0,0,27,0,0,0,0,0,4,0,0,0,8,0,0,0,3,0,0,0,0,0,7,3,21,13,35,12,12,17,0,0,118,0,0,0,7,14,9,5,0,0,38,0,0,0,0,0,0,7,3,4,17,0,0,0,0,3,3,0,0,0,6,3,16,18,60,39,41,28,17,3,224,12,25,28,117,61,48,65,39,20,404,326,735,728,1766,1084,990,950,420,254,7247
POA2601,0,0,0,9,0,0,0,0,0,9,0,0,12,28,3,0,0,0,0,52,0,0,0,3,0,0,3,0,0,8,0,0,4,4,0,4,3,0,0,12,0,0,97,23,0,0,0,0,0,129,0,0,25,9,0,0,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,18,14,3,0,0,0,0,33,0,0,18,16,0,0,0,0,0,34,0,0,12,31,5,0,0,0,0,49,0,0,0,3,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,7,3,3,36,38,3,4,3,0,0,96,0,0,14,14,3,0,0,0,0,30,0,0,0,8,0,0,0,0,0,4,0,0,4,3,0,0,0,0,0,11,4,3,80,119,15,6,3,0,0,226,3,5,171,227,45,32,22,6,7,520,76,40,3603,1969,276,226,115,25,31,6363
POA2602,0,3,7,34,29,8,5,0,0,84,4,15,12,91,18,12,9,4,0,161,0,0,3,24,8,10,15,14,18,79,0,0,6,30,21,24,32,17,16,138,4,5,17,23,11,3,0,0,0,69,0,3,19,51,24,5,7,0,5,116,0,0,0,3,7,4,0,8,4,31,0,4,13,59,14,4,5,0,4,107,0,0,9,38,0,0,0,0,0,43,3,8,21,44,12,7,3,3,0,100,0,0,0,3,4,5,4,9,0,18,0,0,4,4,0,0,0,0,0,9,19,35,39,139,49,46,15,11,3,342,3,14,30,106,57,48,11,17,5,295,0,0,3,6,4,3,5,3,0,19,0,0,0,15,4,3,3,0,0,23,22,80,105,608,145,94,90,82,52,1285,83,158,200,622,229,194,144,130,91,1851,1761,3344,4231,9880,4022,3038,1958,1415,799,30450
POA2603,0,0,0,3,11,3,0,0,0,12,0,0,0,33,3,0,3,0,0,51,0,0,0,8,3,7,4,0,0,22,0,0,4,3,8,14,0,8,3,44,0,10,6,6,6,8,0,0,0,27,0,0,3,16,8,12,0,3,0,49,0,0,0,0,0,0,0,3,0,8,0,9,7,25,18,9,0,0,0,64,0,0,4,11,5,0,3,0,0,29,3,4,4,7,0,0,0,0,0,24,0,0,0,0,6,3,5,0,0,11,0,0,0,14,0,3,0,0,0,23,7,16,16,29,22,18,4,3,0,110,0,3,0,23,13,13,3,5,0,55,0,0,0,5,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,12,0,30,23,107,59,41,25,12,11,310,27,41,71,228,98,89,69,40,66,729,394,1092,1097,2529,1470,1204,849,406,315,9359
POA2604,0,0,0,8,9,3,0,0,0,19,4,0,9,39,15,3,3,3,0,74,0,0,0,16,0,8,6,4,3,33,0,3,3,12,4,8,8,6,4,43,0,0,4,10,0,4,3,0,0,24,0,0,4,28,9,0,4,0,0,51,0,0,0,0,7,7,0,5,0,15,0,5,10,22,17,8,0,0,0,62,0,6,0,16,3,0,0,0,0,20,0,3,5,12,0,0,0,0,0,23,0,0,0,0,3,0,5,0,0,8,0,0,0,4,0,0,5,0,0,13,7,19,12,48,12,13,10,3,0,118,0,0,4,25,8,13,4,0,0,53,0,0,0,4,0,4,0,0,0,12,0,0,0,4,0,0,0,0,0,5,14,31,23,137,54,48,27,9,7,357,35,50,79,316,125,106,60,93,126,988,541,846,1053,3931,1409,1212,666,424,310,10383
POA2605,0,0,0,3,11,5,0,0,0,21,0,8,3,68,24,7,7,0,0,121,0,0,0,3,0,4,3,5,3,31,0,0,0,10,14,11,20,17,12,75,0,3,0,10,8,8,0,0,0,26,0,4,10,11,8,8,3,0,0,52,0,0,0,0,3,0,0,3,0,12,0,6,0,36,15,8,4,3,0,68,0,0,0,4,0,0,0,0,0,10,0,3,3,17,3,3,4,0,0,36,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,18,15,32,24,21,15,3,0,131,0,0,0,14,4,7,7,0,0,35,0,4,0,0,0,0,4,5,4,16,0,0,0,3,3,3,0,0,0,13,8,66,12,113,52,42,34,36,33,384,32,55,43,186,107,92,84,82,59,745,646,1668,1188,2709,1752,1346,1039,857,532,11725
POA2606,0,0,0,3,7,5,0,0,0,13,10,22,21,138,23,5,5,0,0,215,0,0,0,5,0,9,4,3,0,27,0,0,0,3,7,6,10,5,3,34,3,3,0,10,9,4,3,3,0,30,0,3,17,9,11,5,0,0,0,53,0,0,0,0,0,4,0,8,0,13,0,0,4,45,9,19,13,3,0,92,0,0,0,11,0,0,0,0,0,17,0,6,8,19,4,4,0,0,0,35,0,0,0,6,0,0,0,3,0,12,0,0,0,4,0,0,0,0,0,4,4,13,8,26,9,5,3,0,0,79,0,0,10,27,8,7,4,0,0,63,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,4,3,0,0,26,7,43,43,232,54,50,46,33,11,521,26,52,81,275,78,68,57,45,7,689,524,931,1042,3476,1152,871,738,516,177,9422
POA2607,0,0,0,11,10,4,3,0,0,27,0,11,13,61,13,12,8,0,0,127,0,0,0,3,3,10,11,6,3,38,0,3,0,13,10,8,18,8,16,77,0,9,3,11,8,7,4,0,3,38,3,8,11,25,16,4,8,7,5,88,0,0,0,0,7,3,3,3,6,14,0,3,3,48,41,33,22,8,3,160,0,5,3,11,3,0,3,0,0,22,4,8,9,14,10,0,3,0,0,54,0,0,0,10,3,15,3,0,0,26,0,0,4,0,8,4,0,0,0,17,3,14,3,19,21,17,7,4,0,90,0,0,5,20,14,6,12,0,0,62,0,0,0,0,0,3,6,7,0,17,0,0,6,9,11,3,3,0,0,32,0,37,44,150,71,85,64,54,23,529,15,32,59,127,73,65,85,52,31,544,705,1683,1693,3170,1954,1630,1503,907,369,13614
POA2609,0,0,0,4,0,0,0,0,0,6,0,0,7,6,3,6,0,0,0,20,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,6,3,8,3,4,0,21,3,4,11,27,28,22,26,11,3,142,43,46,87,211,164,143,130,49,14,887
POA2611,3,4,6,36,14,6,0,5,0,78,4,32,21,123,34,26,17,3,0,253,0,0,0,21,10,23,10,8,14,81,0,6,7,21,19,32,42,27,3,159,3,6,3,17,4,8,5,3,0,61,0,10,7,63,36,17,11,5,0,153,0,0,0,3,0,3,9,7,0,28,0,11,4,59,21,17,15,10,3,136,0,0,0,15,6,0,0,3,0,26,0,4,11,37,8,12,4,3,0,77,0,0,3,10,3,3,3,0,0,24,0,0,0,4,0,4,0,0,0,4,0,26,16,50,26,24,12,10,4,166,4,7,0,47,5,12,10,0,0,81,0,0,0,8,9,6,15,0,0,33,0,3,3,10,7,6,0,0,0,39,16,48,60,236,137,103,88,94,31,821,89,115,121,502,159,159,199,182,135,1670,2016,3714,2744,8224,3580,2788,2859,1501,591,28018
POA2612,0,0,6,6,12,3,0,0,0,33,4,7,15,67,6,4,6,0,0,118,0,0,3,15,4,3,5,6,9,40,0,0,6,13,7,7,12,8,0,62,0,0,26,34,0,3,0,0,0,72,0,3,24,26,4,3,0,0,0,63,0,0,0,10,0,4,0,0,0,12,0,0,11,44,8,4,0,0,0,76,0,0,4,25,3,0,0,0,0,37,0,3,27,38,4,3,0,3,0,70,0,0,0,3,0,3,0,0,0,15,0,0,4,7,3,0,0,0,0,15,6,4,30,63,14,26,18,3,0,167,7,12,20,97,23,11,5,6,0,180,0,0,3,4,3,0,3,6,0,18,0,0,5,3,0,0,0,0,0,9,6,14,83,307,53,31,27,15,7,555,38,47,310,656,173,122,98,61,26,1531,517,862,3897,6448,1609,1282,895,443,230,16184
POA2614,0,4,0,16,10,8,3,0,0,47,4,7,15,63,26,10,7,0,0,130,0,0,0,7,5,9,4,4,3,27,0,6,3,8,14,17,35,25,8,111,0,3,0,15,6,5,0,3,0,30,0,0,8,27,5,5,5,3,0,59,0,0,0,0,3,3,0,3,0,11,3,11,13,51,9,9,10,4,0,118,0,0,0,14,3,0,0,0,0,14,0,12,10,13,6,6,3,0,0,54,0,0,0,3,3,3,0,3,0,8,0,0,0,10,3,4,3,0,0,19,8,25,19,37,26,14,26,9,0,167,5,5,19,63,28,26,9,3,3,155,0,0,0,3,6,0,9,3,4,32,0,10,9,17,19,6,5,0,0,61,18,32,59,248,79,68,68,50,44,669,62,73,102,241,117,76,113,103,44,923,1203,2449,2282,5232,2505,1960,1998,1228,538,19390
POA2615,0,0,3,29,21,20,3,0,0,70,0,35,59,160,103,54,23,10,3,447,0,3,0,37,3,23,15,11,3,96,0,3,8,33,32,32,59,32,5,197,0,8,3,29,17,15,6,3,0,75,0,7,22,58,29,21,19,4,3,169,0,0,0,3,4,15,3,12,0,33,0,18,11,87,32,20,13,14,0,194,3,4,3,24,3,0,0,0,0,35,3,19,23,60,13,11,7,0,0,130,0,0,0,13,5,13,13,4,0,43,0,0,0,8,5,0,0,0,0,10,5,15,24,79,41,22,27,5,0,210,4,8,25,165,98,78,27,5,3,419,0,0,0,15,7,17,5,5,0,50,0,3,16,28,14,7,0,0,0,71,16,58,103,416,185,208,159,94,34,1260,147,177,235,597,228,246,223,102,53,2015,3524,6045,5167,13663,5337,4701,3876,1439,420,44177
POA2617,4,5,8,35,22,10,3,0,0,85,6,13,35,231,39,26,11,6,0,366,0,0,4,24,10,19,13,8,6,87,0,0,10,15,17,18,28,17,7,112,0,0,12,49,8,10,9,0,0,86,0,3,22,46,15,15,10,5,0,111,0,0,0,5,9,6,3,3,0,30,0,11,22,106,26,30,11,10,7,232,0,0,13,50,3,5,0,0,0,70,3,7,27,85,10,6,9,0,0,139,0,0,0,9,4,9,7,8,0,42,0,3,3,4,3,3,0,0,0,22,4,30,30,75,24,19,21,4,0,214,0,3,42,149,70,73,30,15,3,382,0,0,0,7,3,6,3,0,4,27,0,0,6,13,4,5,0,0,0,35,9,61,166,525,169,156,106,62,19,1273,59,121,422,665,214,231,158,87,99,2054,1893,2921,6115,10910,3343,3438,2447,989,446,32503
POA2618,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,17,7,11,24,37,12,16,10,7,0,123,64,202,203,307,226,193,175,70,7,1445
POA2900,0,0,0,3,0,0,0,0,0,3,3,0,4,21,10,0,0,0,0,37,0,0,0,3,3,0,0,0,0,9,0,0,0,4,0,0,9,0,0,20,0,3,0,0,0,0,3,0,0,13,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,7,0,0,0,0,0,0,15,0,3,0,5,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,19,9,6,6,6,3,49,3,3,8,41,14,21,14,0,0,105,123,102,212,737,214,231,199,85,25,1930
POA2902,0,3,0,17,16,4,0,0,0,31,0,9,11,34,17,23,17,0,0,120,0,0,0,13,5,13,11,0,0,42,0,0,0,11,12,11,33,4,4,82,0,3,0,8,0,3,0,0,0,21,0,8,7,25,7,11,9,3,0,65,0,0,0,0,4,8,7,3,0,20,0,3,7,19,12,13,5,8,0,66,0,0,0,3,0,0,0,0,0,6,0,0,5,11,0,11,0,0,0,22,0,0,0,4,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,8,4,24,13,13,7,0,0,69,0,0,9,21,13,9,9,5,0,58,3,0,0,0,6,3,6,4,0,24,0,0,4,13,0,0,0,0,0,18,0,15,37,87,71,64,79,33,4,396,45,84,78,208,109,103,108,41,8,779,1017,1952,1725,3794,2001,2040,1716,551,119,14900
POA2903,0,0,0,4,8,5,0,0,0,21,0,3,15,23,14,6,3,0,0,72,0,0,0,0,0,6,4,0,9,22,0,4,0,7,14,18,14,7,0,67,0,3,0,3,3,4,3,0,0,19,0,0,4,8,7,5,0,0,0,25,0,0,0,0,0,0,5,0,0,5,0,0,3,14,5,5,3,3,0,39,0,0,0,6,0,0,0,0,0,4,0,0,0,19,0,4,0,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,20,4,8,4,0,0,46,0,3,5,21,7,6,0,0,0,43,0,0,0,0,0,3,8,3,0,10,0,0,3,10,6,4,0,0,0,21,3,13,24,65,46,51,52,19,3,279,22,40,31,101,60,97,38,26,4,432,605,1196,1094,2351,1246,1415,920,290,84,9207
POA2904,0,0,3,3,4,6,0,0,0,19,0,9,13,25,19,20,6,4,0,96,0,0,0,9,4,10,12,3,3,34,0,0,0,6,9,27,22,15,3,80,0,4,3,13,3,4,0,3,0,33,0,10,12,25,27,17,10,0,0,98,0,0,0,0,5,3,4,3,0,15,0,3,10,21,19,26,15,4,4,105,0,0,0,0,0,0,0,0,0,3,0,3,7,9,3,3,4,0,0,31,0,0,0,4,0,3,3,0,0,11,0,0,0,3,0,3,0,0,0,5,3,15,9,16,11,12,9,0,0,68,0,0,3,21,24,23,5,9,0,96,0,0,0,0,3,3,4,4,3,26,0,0,0,3,3,3,0,0,0,13,0,7,18,72,56,78,55,49,11,342,20,44,47,104,84,92,73,86,125,674,759,1524,1601,2958,1807,2127,1204,555,329,12863
POA2905,0,0,0,4,13,11,0,0,0,29,4,20,35,96,42,43,17,0,0,260,0,0,0,18,11,27,17,7,4,81,0,0,3,15,34,37,42,12,3,148,0,0,3,14,8,8,3,0,0,34,3,0,13,28,16,21,4,3,3,96,0,0,0,6,5,11,10,3,0,35,0,13,3,37,25,23,19,6,0,126,0,0,3,6,0,0,0,0,0,11,0,3,8,39,14,16,4,0,0,81,0,0,0,7,4,10,0,3,0,28,0,0,0,7,0,0,0,0,0,8,0,11,9,37,8,16,8,3,0,98,0,4,9,49,69,70,12,4,5,214,0,0,0,7,9,7,9,5,0,31,0,4,10,18,6,3,3,0,0,49,7,42,38,220,173,182,113,41,15,835,76,126,167,349,194,189,108,54,20,1296,2035,3752,4035,8040,4227,3820,1729,744,238,28625
POA2906,0,0,0,0,5,3,0,0,0,20,0,17,10,56,43,38,12,7,0,182,0,0,0,14,5,14,7,0,3,42,0,0,0,12,20,21,22,16,0,89,0,3,0,4,8,3,5,0,0,20,0,5,8,22,11,6,6,3,0,70,0,0,0,4,8,8,3,3,0,22,0,3,3,51,16,32,27,3,0,130,0,0,0,0,0,3,0,0,0,9,0,10,4,28,13,11,0,0,0,62,0,0,0,0,3,3,8,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,9,18,13,13,8,0,0,62,0,5,0,24,19,33,4,0,0,90,0,0,0,6,0,4,0,0,3,10,0,0,0,5,5,0,0,0,0,13,5,21,30,124,136,86,47,33,15,501,50,65,110,215,146,78,52,30,6,759,1276,2353,2765,4789,3048,1866,939,471,131,17633
POA2911,0,0,0,4,0,0,0,0,0,5,0,0,10,18,4,7,0,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,0,4,0,15,0,0,0,7,4,4,0,0,0,17,0,5,3,15,11,0,0,0,0,40,0,0,0,0,3,0,3,0,0,4,0,5,3,22,9,7,5,0,0,44,0,0,0,5,0,0,0,0,0,6,3,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,4,4,6,3,7,0,0,0,22,0,0,4,27,4,4,3,0,0,45,0,0,0,3,0,0,0,0,0,3,0,0,4,6,0,0,0,0,0,13,0,15,18,86,27,9,8,3,0,159,16,21,20,97,9,10,0,0,0,163,553,539,494,2073,391,237,117,53,9,4466
POA2912,0,0,0,0,3,0,0,0,0,0,0,8,8,44,27,7,3,0,0,103,0,0,0,7,0,0,0,0,0,10,0,0,0,12,5,3,0,0,0,16,0,3,3,11,0,0,0,0,0,22,0,8,8,25,16,7,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,3,15,7,16,3,0,0,39,0,0,0,6,3,5,0,0,0,21,0,3,3,13,6,0,0,0,0,23,0,0,0,5,4,0,0,0,0,7,0,0,0,3,0,0,3,0,0,11,0,9,0,9,3,3,0,0,0,30,0,0,11,53,27,23,10,3,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,11,0,9,42,127,36,22,14,3,3,253,25,30,58,169,39,32,17,8,0,372,480,730,1052,2411,719,450,202,73,20,6142
POA2913,0,0,3,21,22,6,0,0,0,48,3,21,53,189,76,30,19,4,3,395,0,0,0,21,12,16,5,0,0,51,3,10,5,23,36,21,24,13,3,140,4,15,7,42,20,7,6,0,0,103,0,33,37,66,57,16,4,0,0,213,0,0,0,5,5,11,3,5,0,33,3,42,28,194,81,67,31,14,0,468,0,0,3,34,4,8,0,0,0,48,3,6,20,63,13,13,3,0,0,126,0,0,6,26,14,18,4,0,0,65,0,0,0,3,0,0,0,0,0,11,12,28,34,71,33,14,14,4,0,211,3,16,30,198,116,105,20,14,5,502,0,4,3,11,7,8,3,3,0,39,0,11,17,37,10,4,0,0,0,89,9,71,104,509,204,141,80,31,10,1162,133,140,229,626,240,152,88,58,10,1672,3047,4610,4751,12710,4543,2921,1687,665,138,35053
POA2914,0,3,5,13,16,3,0,0,0,37,3,41,43,139,52,22,4,3,0,305,0,3,0,27,7,12,3,0,0,59,0,0,0,22,17,5,4,4,0,61,3,3,8,34,7,3,4,0,0,65,0,55,49,93,75,10,5,3,0,288,0,0,0,4,3,0,0,0,0,9,0,20,45,147,85,33,15,6,0,355,0,0,3,34,3,4,0,0,0,43,0,11,13,44,14,9,0,0,0,87,0,0,0,15,3,9,3,0,0,36,0,0,0,11,4,4,0,0,0,19,9,41,11,49,9,9,3,0,0,136,0,13,27,135,68,35,8,4,0,290,0,0,4,11,3,6,3,0,0,28,0,6,15,31,10,3,0,0,0,59,8,94,93,426,149,56,37,21,3,887,108,145,116,370,126,57,25,18,4,977,2700,4459,3010,9890,2887,1352,630,237,43,25204
