POA_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
POA2600,19,5,5,5,5,7,3,0,103,0,0,0,0,0,0,0,0,0,0,0,82,26,29,6,9,13,8,15,3,8,204,63,16,16,3,0,4,6,17,3,5,135,38,37,32,10,10,4,7,10,9,3,154,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,38,39,32,10,10,3,7,17,8,3,162,0,0,0,0,0,0,0,0,0,0,0,96,59,46,8,11,9,13,27,14,15,296,152,9,5,0,7,0,4,0,0,0,183,79,19,17,4,3,3,4,7,0,0,135,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,81,19,15,4,3,3,4,9,0,0,144,0,0,0,0,0,0,0,0,0,0,0,235,26,22,5,10,3,11,14,0,6,325,163,3,9,0,0,0,0,3,0,4,184,61,6,0,0
POA2601,102,29,42,54,85,149,92,22,644,0,0,0,0,0,0,0,0,0,0,0,91,52,125,38,56,75,95,165,112,25,831,23,11,14,3,3,3,5,3,6,3,72,11,20,11,0,9,16,8,25,18,4,119,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,16,13,0,9,16,6,29,18,4,124,0,0,0,0,0,0,0,0,0,0,0,36,26,27,7,16,18,13,30,20,3,199,31,0,0,0,0,0,0,0,0,0,35,19,3,3,0,0,3,4,3,3,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,0,3,3,4,3,3,5,46,0,0,0,0,0,0,0,0,0,0,0,53,10,8,3,6,3,4,3,4,3,83,20,0,0,0,3,0,0,6,3,0,36,26,0,0,0
POA2602,226,48,100,94,148,189,126,34,1155,0,0,0,0,0,0,0,0,0,0,0,324,145,302,69,131,121,179,227,144,42,1675,317,76,65,16,25,17,20,23,8,19,579,150,108,152,32,43,56,58,53,39,15,709,3,13,18,0,10,3,8,3,9,0,63,0,0,0,0,0,0,0,0,0,0,5,158,119,170,37,52,61,63,57,54,14,776,0,0,0,0,0,0,0,0,0,0,0,478,199,233,46,71,75,80,74,62,33,1350,500,44,22,10,8,3,9,4,3,14,625,276,55,39,13,11,3,9,10,3,9,423,20,10,6,0,3,3,6,6,0,5,62,3,0,0,0,0,0,0,0,0,0,3,293,65,48,15,16,5,16,15,9,15,488,0,0,0,0,0,0,0,0,0,0,0,794,107,73,28,27,8,21,21,9,29,1116,500,12,6,0,0,3,3,0,0,10,528,237,18,10,0
POA2603,47,11,9,14,15,14,19,7,206,0,0,0,0,0,0,0,0,0,0,0,93,33,69,19,18,27,28,27,16,12,340,78,21,23,0,4,0,5,12,7,5,149,64,44,53,7,9,10,6,12,9,9,227,0,3,3,0,0,4,0,4,3,3,26,0,0,0,0,0,0,0,0,0,0,0,67,46,63,14,9,17,10,11,13,10,249,0,0,0,0,0,0,0,0,0,0,0,142,68,84,14,14,21,12,23,13,14,399,171,16,9,9,4,4,0,0,3,8,217,107,31,18,7,5,6,9,5,5,6,206,3,0,3,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,116,29,21,12,10,13,6,5,5,6,221,0,0,0,0,0,0,0,0,0,0,0,282,49,28,16,10,14,12,5,6,14,437,199,4,6,0,0,0,0,4,4,3,218,113,4,5,0
POA2604,71,14,18,16,23,17,15,10,268,0,0,0,0,0,0,0,0,0,0,0,180,60,107,28,20,23,36,29,25,12,529,111,23,17,7,4,0,14,10,3,8,196,72,47,55,13,15,12,15,11,7,3,246,0,0,4,3,4,0,0,4,3,0,17,0,3,0,0,0,0,0,0,0,0,4,73,48,60,13,14,10,18,9,12,3,268,0,0,0,0,0,0,0,0,0,0,0,182,74,78,21,21,12,31,22,16,12,462,162,6,22,4,10,0,4,0,4,0,211,106,26,24,8,3,6,4,5,4,0,192,4,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,111,27,25,12,3,10,4,5,8,4,208,0,0,0,0,0,0,0,0,0,0,0,270,35,43,11,15,10,10,5,6,6,418,190,4,9,0,0,3,0,0,0,3,217,94,3,0,0
POA2605,86,20,20,32,30,32,12,5,296,0,0,0,0,0,0,0,0,0,0,0,68,36,99,19,27,42,34,44,14,7,387,115,14,16,7,4,0,0,4,10,0,179,49,64,85,26,18,17,22,23,8,0,318,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,54,68,88,22,18,17,25,21,8,0,328,0,0,0,0,0,0,0,0,0,0,0,162,83,109,31,25,21,27,28,19,3,511,217,21,15,4,8,0,5,3,0,0,282,87,31,13,5,9,3,7,8,3,4,178,3,0,3,0,4,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,88,32,19,6,14,7,8,9,6,4,198,0,0,0,0,0,0,0,0,0,0,0,309,49,32,14,22,11,15,16,4,6,473,206,6,4,3,0,0,0,0,0,5,227,95,3,3,0
POA2606,215,48,78,99,106,112,39,7,824,0,0,0,0,0,0,0,0,0,0,0,115,72,245,53,87,109,117,116,41,18,975,66,10,7,3,0,0,3,5,3,3,104,64,56,125,23,32,45,59,41,13,4,466,7,3,9,3,0,3,3,3,3,7,37,0,0,0,0,0,0,0,0,0,0,3,68,57,135,27,31,45,59,48,17,7,507,0,0,0,0,0,0,0,0,0,0,0,137,71,142,29,36,47,63,49,20,11,609,132,14,3,0,3,0,3,0,0,0,158,111,25,29,4,3,8,14,3,0,0,199,4,5,7,0,6,4,3,0,5,4,36,0,0,0,0,0,0,0,0,0,0,0,115,29,32,4,7,13,15,5,3,4,231,0,0,0,0,0,0,0,0,0,0,0,249,39,39,5,6,13,18,5,3,4,390,138,3,3,0,0,0,0,0,5,4,156,94,13,5,0
POA2607,163,25,40,39,41,43,11,12,434,0,0,0,0,0,0,0,0,0,0,0,76,41,177,24,43,43,46,49,16,14,522,124,21,17,6,8,3,3,3,5,7,202,82,81,118,13,27,21,31,17,3,10,409,0,4,7,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,82,85,127,16,25,27,34,23,5,13,432,0,0,0,0,0,0,0,0,0,0,0,210,102,147,19,32,27,42,27,8,23,634,254,14,10,11,5,6,0,3,0,3,304,157,62,33,9,7,3,9,3,0,7,292,3,3,7,0,0,0,6,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,168,64,40,7,4,5,15,6,0,7,318,0,0,0,0,0,0,0,0,0,0,0,418,82,48,15,11,14,13,9,0,11,620,254,3,0,4,0,0,0,0,0,0,263,219,11,8,0
POA2609,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,3,3,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,3,18,10,0,5,0,0,0,0,0,0,0,18,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,21,13,0,0,0,0,0,0,0,0,0,18,5,0,0,0
POA2611,206,44,50,23,33,40,24,6,587,0,0,0,0,0,0,0,0,0,0,3,225,104,244,54,53,28,40,53,28,17,856,269,50,36,17,14,4,7,11,0,12,425,157,167,219,41,32,22,27,36,20,14,741,8,7,3,0,3,0,0,6,6,0,32,0,0,3,0,0,0,0,0,0,0,4,167,176,225,45,37,28,27,39,26,12,776,0,0,0,0,0,0,0,0,0,0,0,434,228,266,61,53,28,39,57,28,24,1203,415,43,23,8,18,3,3,0,0,11,523,224,70,54,13,16,5,3,12,5,8,410,9,9,9,3,3,0,0,0,3,0,39,0,0,0,0,0,0,0,0,0,0,3,236,77,69,21,17,5,3,13,3,8,449,0,0,0,0,0,0,0,0,0,0,0,648,119,93,23,31,5,3,16,9,14,967,424,20,16,3,0,0,0,0,0,12,475,230,20,3,0
POA2612,185,47,56,97,122,168,96,23,993,0,0,0,0,0,3,0,0,0,0,3,290,136,246,60,84,136,154,201,115,33,1446,100,32,24,8,13,4,13,9,0,0,207,78,43,72,17,31,26,25,40,18,5,356,0,6,13,0,3,3,3,4,0,0,41,0,0,0,0,0,0,0,0,0,3,8,79,50,83,20,36,32,31,46,16,10,403,0,0,0,0,0,0,0,0,0,0,0,180,81,105,25,49,44,39,59,18,8,609,189,20,13,4,3,4,5,0,0,5,240,106,22,15,7,6,3,0,4,3,0,166,11,3,5,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,119,29,22,7,8,3,0,3,3,7,195,0,0,0,0,0,0,0,0,0,0,0,310,45,30,8,10,4,8,3,8,10,437,214,3,3,0,0,3,0,7,0,0,230,83,6,7,3
POA2614,183,51,50,65,77,72,49,17,677,0,0,0,0,0,0,0,0,0,0,0,124,74,204,61,59,71,86,84,62,26,852,155,34,29,10,0,6,5,3,0,3,250,78,128,117,30,28,25,23,32,8,3,467,3,3,11,3,3,5,5,3,3,0,47,0,0,3,0,0,0,0,0,0,0,8,82,131,138,31,33,24,31,38,12,4,521,0,0,0,0,0,0,0,0,0,0,0,242,158,162,41,29,36,38,43,10,9,773,271,22,28,5,3,0,0,0,0,7,335,159,60,43,7,4,5,8,10,0,7,304,7,3,6,0,3,6,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,166,60,47,7,10,13,11,5,0,9,329,0,0,0,0,0,0,0,0,0,0,0,440,77,74,17,15,14,9,5,0,14,664,322,3,3,0,0,0,0,0,0,6,339,188,7,11,0
POA2615,424,55,69,55,61,58,35,23,1088,0,0,0,0,0,0,0,0,0,0,0,338,207,500,76,99,71,77,68,42,37,1518,369,66,71,12,10,10,13,3,0,18,564,270,312,319,34,15,29,23,18,8,6,1029,9,21,37,3,3,4,3,7,3,5,98,3,3,3,0,0,0,0,0,0,0,8,284,335,349,37,22,32,26,24,14,15,1133,0,0,0,0,0,0,0,0,0,0,0,647,397,425,51,23,41,39,30,18,29,1698,544,37,44,9,11,4,0,0,0,17,670,416,128,121,13,15,0,9,6,0,5,709,44,17,23,5,0,3,5,0,3,4,105,6,0,0,0,0,0,0,0,0,0,8,464,144,146,12,18,7,14,6,3,13,822,0,0,0,0,0,0,0,0,0,0,0,1007,181,193,22,26,14,17,7,3,29,1497,645,9,11,0,3,0,0,0,0,11,684,451,31,15,0
POA2617,554,128,146,204,247,241,156,43,2124,0,0,0,0,0,0,0,0,0,0,3,342,271,635,164,173,227,286,271,176,58,2590,215,64,65,14,17,7,18,14,7,12,435,235,290,265,68,44,38,53,42,36,14,1094,8,14,21,3,4,5,6,8,3,4,79,0,0,0,0,0,0,0,0,0,0,3,243,295,287,73,49,50,66,51,40,24,1171,0,0,0,0,0,0,0,0,0,3,3,457,361,354,90,65,55,83,63,45,34,1610,346,29,33,4,12,6,7,0,4,11,458,352,77,59,5,4,8,9,12,8,7,547,22,13,24,11,0,0,3,0,4,7,92,3,0,0,0,0,0,0,0,0,0,4,385,89,88,14,7,8,14,11,7,17,643,0,0,0,0,0,0,0,0,0,3,3,729,113,115,20,20,16,17,15,12,33,1102,444,16,4,3,0,0,0,3,0,4,479,426,20,14,3
POA2618,3,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,4,0,0,0,5,21,10,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,20,25,0,3,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,0,0,0,0,0,0,39,21,0,0,0,0,0,0,0,0,0,22,8,0,0,0
POA2900,47,14,19,29,23,19,19,4,204,0,0,0,0,0,0,0,0,0,0,0,29,19,56,14,20,31,26,21,18,3,237,18,4,5,0,0,0,0,0,0,0,28,13,19,24,0,8,13,5,13,3,0,98,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,19,29,0,8,15,10,13,3,0,105,0,0,0,0,0,0,0,0,0,0,0,30,25,31,0,8,17,10,17,6,0,138,24,0,5,0,0,0,0,0,0,0,29,29,6,7,0,3,0,0,0,0,0,43,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,33,6,7,0,3,0,0,3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,53,7,6,0,3,0,0,3,0,0,76,32,0,0,0,0,0,0,0,0,0,37,19,0,0,0
POA2902,51,9,9,13,20,8,4,6,169,0,0,0,0,0,0,0,0,0,0,0,77,45,76,7,12,15,25,12,4,12,275,117,27,19,3,3,4,0,0,0,10,186,62,40,75,10,10,9,8,5,0,3,215,0,0,8,3,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,58,42,84,9,10,8,8,6,0,3,240,0,0,0,0,0,0,0,0,0,0,0,179,72,105,13,19,14,7,13,0,15,422,240,25,11,5,3,0,0,0,0,5,297,112,24,26,0,0,4,0,0,0,3,177,7,0,3,0,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,119,29,27,0,0,5,0,0,3,5,195,0,0,0,0,0,0,0,0,0,0,0,360,51,40,8,5,7,4,0,3,9,487,290,15,4,3,5,0,0,0,0,8,318,136,3,9,0
POA2903,45,9,14,10,8,9,0,4,126,0,0,0,0,0,0,0,0,0,0,0,58,31,47,12,21,11,7,8,6,4,204,84,19,3,3,3,3,3,0,0,0,120,53,41,57,12,6,6,9,0,3,0,192,0,4,10,0,0,0,3,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,57,47,65,12,8,11,10,0,3,6,212,0,0,0,0,0,0,0,0,0,0,0,144,62,72,13,9,12,16,0,3,8,331,157,9,8,0,0,0,0,0,0,4,183,78,20,18,6,3,0,3,0,0,0,123,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,90,20,18,5,3,0,3,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,247,26,25,9,3,0,3,3,0,4,317,198,9,0,0,0,0,0,0,0,0,209,116,7,3,0
POA2904,54,8,8,6,11,12,4,0,159,0,0,0,0,0,0,0,0,0,0,0,63,30,64,9,12,11,11,11,9,5,229,100,10,6,3,0,5,3,0,3,3,139,61,53,63,8,16,5,4,0,4,3,212,0,0,3,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,58,51,69,5,20,5,3,0,4,3,228,0,0,0,0,0,0,0,0,0,0,0,163,63,76,9,18,12,9,6,6,4,364,192,19,18,0,6,5,0,4,0,0,247,152,14,34,7,5,3,0,0,0,0,216,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,155,17,36,7,5,3,3,0,0,4,233,0,0,0,0,0,0,0,0,0,0,0,354,35,50,7,7,8,3,6,0,3,477,326,12,9,3,3,0,0,0,0,3,357,222,13,0,3
POA2905,157,29,32,26,23,27,11,10,446,0,0,0,0,0,0,0,0,0,0,0,195,66,182,42,37,28,29,35,10,16,653,193,38,18,0,3,0,3,0,3,13,276,151,98,177,28,31,5,9,12,6,6,529,3,6,9,0,0,4,0,5,0,3,33,0,0,0,0,0,0,0,0,0,0,0,160,100,184,27,31,13,16,17,6,4,563,0,0,0,0,0,0,0,0,0,0,0,350,138,207,30,36,9,13,22,8,18,837,439,23,23,3,3,3,4,6,3,9,512,278,60,71,4,8,0,3,0,3,9,445,15,10,7,3,0,3,3,0,0,4,42,0,0,0,0,0,0,0,0,0,0,0,299,67,73,7,8,3,4,0,0,13,495,0,0,0,0,0,0,0,0,0,0,0,742,88,102,9,16,7,12,9,7,21,1006,575,14,5,4,0,0,0,0,0,13,622,378,20,12,0
POA2906,88,17,14,11,8,5,3,9,235,0,0,0,0,0,0,0,0,0,0,0,111,56,93,23,15,11,15,5,5,15,353,141,21,26,3,0,0,3,6,3,3,205,116,61,87,4,4,11,3,0,0,4,292,4,0,5,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,120,63,90,4,4,14,3,0,0,4,313,0,0,0,0,0,0,0,0,0,0,0,263,81,115,11,8,9,5,3,3,8,518,340,22,15,3,4,0,0,0,0,7,393,237,40,28,3,3,0,6,0,0,9,325,8,3,3,0,0,0,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,246,44,28,3,5,0,3,3,0,9,345,3,0,0,0,0,0,0,0,0,0,3,584,69,46,8,7,0,3,3,0,17,743,300,5,8,0,0,0,0,0,0,6,332,260,6,4,0
POA2911,167,28,15,12,15,18,12,0,418,0,0,0,0,0,0,0,0,0,0,0,94,114,183,31,27,15,20,21,15,8,526,42,9,13,0,0,3,0,3,0,0,75,57,121,113,23,11,5,3,4,3,10,347,0,4,13,0,0,0,0,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,60,125,125,23,9,5,4,6,3,11,371,0,0,0,0,0,0,0,0,0,0,0,101,137,135,20,10,9,4,8,3,10,447,52,0,3,3,0,0,0,0,0,0,61,61,38,29,0,4,0,0,0,0,0,132,0,0,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,59,37,32,0,6,0,0,4,0,3,148,0,0,0,0,0,0,0,0,0,0,0,110,40,40,6,6,3,0,4,3,3,211,24,0,3,0,0,3,0,0,0,0,30,42,12,5,0
POA2912,197,33,57,53,58,50,27,22,607,0,0,0,0,0,0,0,0,0,0,0,89,78,208,44,64,53,60,48,27,24,700,50,13,10,3,0,5,8,3,0,0,97,108,98,86,11,21,10,23,10,4,9,387,4,7,18,3,0,3,3,5,4,0,54,0,3,0,0,0,0,0,0,0,0,3,113,104,105,11,28,16,32,15,6,10,441,0,0,0,0,0,0,0,0,0,0,0,165,118,122,18,28,18,36,22,6,6,538,64,11,4,0,0,0,3,0,0,0,83,110,29,33,8,9,5,4,0,0,8,202,5,7,13,0,0,3,5,0,3,3,44,0,0,0,0,0,0,0,0,0,0,3,118,34,47,14,9,9,6,6,3,6,246,0,0,0,0,0,0,0,0,0,0,0,177,48,49,14,6,9,11,3,3,8,325,38,5,3,0,0,0,0,0,0,0,50,89,7,3,3
POA2913,800,130,92,126,130,146,55,27,2100,0,0,0,0,0,0,0,0,0,0,0,434,404,894,152,121,137,151,161,58,34,2554,288,67,56,23,13,12,17,5,12,13,492,375,494,495,68,50,51,46,40,8,26,1654,24,23,55,5,11,6,10,3,0,3,135,3,0,8,0,0,0,0,0,0,0,13,402,520,552,75,59,62,56,41,8,29,1800,0,0,0,0,0,0,0,0,0,0,5,684,589,605,94,66,75,75,45,19,42,2300,433,57,53,20,15,7,8,3,0,13,601,591,179,136,25,19,16,17,0,5,12,1001,49,30,45,8,8,10,0,4,3,4,162,0,0,0,0,0,0,0,0,0,0,3,643,210,190,29,23,21,18,9,7,20,1162,0,0,0,0,0,0,0,0,0,0,0,1080,265,241,46,39,30,23,14,7,32,1770,330,24,15,3,0,3,0,6,0,9,390,542,51,35,3
POA2914,702,105,90,76,107,68,36,29,1681,0,0,0,0,0,0,0,0,0,0,0,293,335,764,127,108,102,123,78,36,35,1997,242,71,64,18,22,17,16,10,5,14,479,351,614,529,72,46,44,38,47,14,24,1770,10,27,53,3,4,3,6,7,3,7,127,0,0,3,0,0,0,0,0,0,0,5,360,641,583,77,52,52,47,56,12,25,1906,0,0,0,0,0,0,0,0,0,0,0,598,707,651,97,66,65,65,67,19,43,2383,250,33,63,25,9,7,4,6,0,7,407,368,168,149,17,21,5,7,10,3,4,765,16,22,30,0,4,8,11,3,3,9,115,3,0,3,0,0,0,0,0,0,0,4,393,193,184,20,28,15,19,12,4,16,883,0,0,0,0,0,0,0,0,0,0,0,649,222,246,49,37,20,26,16,9,28,1291,139,11,14,0,0,3,0,0,0,0,169,235,37,29,0
