POA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA2600,40,40,3,7,18,10,0,4,4,129,38,24,8,19,37,12,0,0,0,132,50,18,51,21,37,7,3,4,4,194,0,0,0,3,6,0,0,0,0,18,5,3,0,4,11,3,3,0,0,30,7,17,0,4,4,0,0,0,0,30,11,8,3,4,9,3,0,0,4,38,754,1496,91,145,380,75,19,19,86,3066
POA2601,10,7,3,11,8,3,0,0,0,45,15,12,12,10,17,10,0,3,0,73,13,17,10,13,14,8,4,0,0,84,0,3,0,3,0,6,0,3,0,14,3,3,0,8,9,0,0,0,0,19,4,6,0,0,0,3,0,0,0,22,3,6,0,6,0,0,0,0,3,21,270,801,61,115,178,89,10,51,29,1608
POA2602,80,131,39,66,81,27,9,27,18,468,102,142,96,111,129,28,6,38,3,661,131,136,392,197,175,65,26,66,22,1212,3,8,11,26,19,8,4,15,0,89,21,30,14,24,35,12,3,17,6,154,13,31,9,11,9,6,3,8,0,85,26,34,21,16,18,11,4,16,34,178,2371,5596,856,892,1575,353,81,423,303,12455
POA2603,52,40,10,12,38,11,0,3,0,166,41,29,11,17,40,12,3,4,4,161,63,28,64,40,49,35,10,13,12,312,5,3,0,10,7,3,0,3,0,25,13,8,4,4,11,3,0,5,5,52,7,10,3,3,0,3,0,3,0,28,9,9,0,0,10,5,0,3,5,36,958,1829,160,186,534,127,23,55,107,3979
POA2604,47,67,16,30,31,12,3,3,0,212,71,71,19,38,56,10,3,8,10,284,62,43,132,64,82,43,5,18,8,452,6,0,3,3,3,3,0,3,0,29,6,9,7,6,16,5,3,11,3,59,9,14,4,3,6,5,0,0,0,38,4,12,8,3,11,5,0,0,8,58,1074,2303,240,274,629,141,25,65,106,4857
POA2605,25,65,9,24,48,16,3,3,3,196,37,58,22,36,56,9,5,6,8,239,51,32,128,53,51,17,19,16,9,379,3,0,0,5,8,0,0,0,0,19,12,5,3,13,18,9,0,4,0,62,3,13,3,3,5,0,0,4,0,35,6,13,4,5,10,6,0,3,3,56,883,2088,224,273,536,105,48,70,89,4329
POA2606,29,51,17,25,32,11,5,6,0,181,46,74,48,59,60,17,9,22,8,344,44,37,154,76,71,23,15,25,8,456,3,3,3,4,8,5,0,10,0,29,9,11,3,17,16,12,3,4,0,76,0,12,4,4,7,4,0,0,3,33,6,10,3,5,3,0,0,15,10,60,623,1660,297,357,538,127,48,173,90,3915
POA2607,66,91,25,41,69,15,0,6,13,330,95,89,35,65,102,17,5,10,11,442,87,53,251,92,106,40,31,32,13,704,4,4,4,12,20,3,0,0,0,47,13,19,6,13,32,11,7,4,0,101,5,15,3,4,11,0,0,3,0,38,11,18,8,11,14,4,3,9,7,81,992,2048,407,428,729,175,60,119,116,5071
POA2609,5,3,4,0,3,0,0,0,0,17,3,0,0,0,3,0,0,3,0,16,16,3,29,7,6,3,7,14,0,87,0,0,3,5,0,0,0,0,0,8,0,0,0,4,0,3,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,0,16,37,41,41,23,21,10,17,23,7,224
POA2611,126,192,54,79,131,30,10,22,6,648,183,198,91,135,211,33,7,23,19,896,210,136,576,229,265,77,36,111,38,1674,16,17,7,25,24,11,4,4,0,110,31,38,5,32,69,19,3,9,3,215,11,44,12,3,13,7,3,3,3,96,18,33,24,14,17,7,4,15,16,158,2014,4351,937,806,1611,298,96,250,210,10569
POA2612,57,54,25,34,48,17,0,10,8,245,75,59,37,67,60,16,0,18,9,338,140,98,100,86,79,34,10,21,18,582,27,12,7,9,8,5,3,7,0,76,13,9,0,6,13,7,0,8,3,61,16,12,3,7,11,0,0,3,0,51,14,20,7,7,16,0,0,3,8,79,1555,3297,284,508,857,216,25,180,184,7105
POA2614,62,106,24,50,55,21,6,8,6,340,84,106,61,84,78,23,13,19,20,488,102,80,324,145,134,63,35,59,16,954,5,5,10,11,19,18,6,10,3,80,22,11,11,27,24,11,0,8,6,119,7,19,3,6,9,3,0,3,3,61,6,20,7,14,17,8,3,11,19,101,1296,2947,576,585,940,245,95,205,186,7081
POA2615,147,238,70,140,218,35,16,26,17,906,278,320,190,310,396,68,28,47,50,1685,431,323,1426,533,641,176,203,227,82,4042,26,23,26,50,79,41,13,34,3,306,39,50,29,77,135,36,16,29,10,419,8,42,12,17,32,8,7,13,9,135,25,38,34,34,56,16,13,33,23,274,2217,4838,2029,1662,2616,574,342,521,370,15180
POA2617,126,143,64,73,133,50,13,18,16,631,167,160,124,204,205,68,16,38,18,1002,229,169,715,328,281,112,76,122,44,2081,18,9,15,33,40,28,4,9,0,153,30,29,13,44,64,21,11,23,5,238,18,39,13,15,17,9,3,5,9,126,13,36,21,29,27,18,9,15,25,196,1958,4642,1216,1256,1887,571,176,414,267,12387
POA2618,13,0,3,0,6,4,0,4,0,32,6,11,7,4,9,0,0,0,0,32,37,6,47,20,16,7,11,10,3,158,0,0,0,0,3,0,0,0,0,7,4,3,0,0,7,3,0,3,4,22,4,0,0,0,0,0,0,0,0,4,3,3,3,3,3,0,0,3,0,17,126,149,73,37,61,23,11,19,8,509
POA2900,3,10,0,7,5,7,0,0,0,28,17,22,12,12,15,4,0,0,0,85,19,16,40,28,20,10,5,4,0,130,0,0,0,4,3,3,0,0,0,12,0,4,3,3,10,0,0,0,0,20,6,3,0,3,0,0,0,0,0,9,3,3,3,0,0,0,0,0,3,14,100,337,72,75,122,28,6,8,12,763
POA2902,73,118,34,47,88,13,3,7,7,390,100,96,56,76,121,18,4,9,18,496,135,93,433,156,176,60,50,84,30,1215,9,10,0,15,22,8,3,8,0,82,17,15,7,28,48,16,3,4,0,135,12,12,3,4,15,3,3,6,0,52,15,13,8,10,14,7,4,10,15,108,828,1701,594,496,825,171,78,148,130,4969
POA2903,32,58,7,27,41,6,0,3,6,182,65,75,24,59,102,9,3,4,12,364,75,56,240,113,120,40,35,35,14,729,4,6,4,10,13,9,4,4,3,57,9,13,11,10,22,12,6,5,3,84,5,15,3,3,7,0,3,3,0,39,10,10,3,4,19,5,0,13,5,65,504,1090,336,319,565,118,61,79,71,3144
POA2904,83,96,18,43,90,15,3,11,8,369,108,94,35,64,129,23,3,17,15,490,145,102,392,154,196,41,40,60,28,1151,10,5,7,8,18,5,0,4,3,61,18,15,10,20,45,20,9,0,0,133,3,13,8,3,13,3,0,0,0,49,10,16,15,10,14,3,3,4,9,79,914,1606,536,437,843,141,73,117,104,4766
POA2905,128,191,50,91,170,26,17,17,18,711,249,237,110,219,320,45,23,33,35,1257,324,261,1193,389,515,142,163,204,71,3259,16,16,15,35,56,37,8,22,4,208,46,35,30,50,106,21,9,18,10,323,15,25,14,12,29,7,3,12,3,112,27,26,32,24,45,24,12,17,21,240,1468,2685,1546,1088,1786,388,274,354,254,9837
POA2906,97,95,29,56,112,20,3,5,11,426,157,168,63,120,218,35,7,21,20,816,176,123,664,254,360,94,97,104,52,1921,15,16,9,25,33,21,10,11,3,131,18,21,13,26,73,18,7,9,3,184,5,24,3,11,15,3,0,0,4,69,10,16,23,15,26,10,4,11,18,130,908,1599,883,651,1140,236,153,181,179,5923
POA2911,20,22,3,23,27,8,0,3,0,104,29,36,23,42,49,8,0,3,3,197,50,34,82,42,43,16,4,20,5,294,0,0,0,3,0,3,0,0,0,15,3,3,0,5,8,0,0,5,4,34,0,6,0,5,0,0,0,0,0,13,0,11,0,0,6,0,0,0,4,25,377,851,153,189,321,74,21,46,56,2084
POA2912,27,36,14,21,17,3,0,8,3,138,54,40,44,58,63,14,0,11,5,295,48,30,127,66,60,27,14,33,8,411,3,3,6,3,15,0,0,3,0,26,4,8,6,13,14,4,0,3,0,48,0,14,3,3,4,0,0,0,4,26,3,0,11,7,5,3,0,3,8,35,404,794,261,259,382,115,33,101,60,2406
POA2913,150,207,76,105,176,53,10,24,28,819,269,254,137,245,372,76,20,27,47,1455,324,213,963,369,477,163,92,154,57,2806,25,20,17,49,48,26,7,24,5,211,43,40,13,49,86,21,9,14,4,281,26,35,18,18,23,5,4,9,4,149,14,22,27,27,36,21,3,25,28,207,2304,4702,1534,1382,2356,627,188,399,314,13816
POA2914,134,164,82,79,133,28,11,16,10,659,207,206,87,195,212,54,14,35,18,1024,204,167,536,279,324,100,48,88,37,1781,5,9,11,25,29,19,0,6,0,112,21,23,7,27,54,18,3,7,3,166,15,28,12,7,19,11,3,8,3,108,7,25,22,15,14,8,0,13,13,121,1766,3699,951,1054,1613,427,141,238,235,10127
