POA_CODE_2016,Suburb,Population,P_Neg_Nil_income_Tot,P_1_149_Tot,P_150_299_Tot,P_300_399_Tot,P_400_499_Tot,P_500_649_Tot,P_650_799_Tot,P_800_999_Tot,P_1000_1249_Tot,P_1250_1499_Tot,P_1500_1749_Tot,P_1750_1999_Tot,P_2000_2999_Tot,P_3000_more_Tot
POA2600,YARRALUMLA,1207.833333,74.66666667,37,37,32.33333333,34.5,39.5,37.16666667,48.66666667,82.33333333,83.5,79,68.5,150.5,157.8333333
POA2600,CAPITAL HILL,1207.833333,74.66666667,37,37,32.33333333,34.5,39.5,37.16666667,48.66666667,82.33333333,83.5,79,68.5,150.5,157.8333333
POA2600,DEAKIN,1207.833333,74.66666667,37,37,32.33333333,34.5,39.5,37.16666667,48.66666667,82.33333333,83.5,79,68.5,150.5,157.8333333
POA2600,BARTON,1207.833333,74.66666667,37,37,32.33333333,34.5,39.5,37.16666667,48.66666667,82.33333333,83.5,79,68.5,150.5,157.8333333
POA2600,RUSSELL,1207.833333,74.66666667,37,37,32.33333333,34.5,39.5,37.16666667,48.66666667,82.33333333,83.5,79,68.5,150.5,157.8333333
POA2600,PARKES,1207.833333,74.66666667,37,37,32.33333333,34.5,39.5,37.16666667,48.66666667,82.33333333,83.5,79,68.5,150.5,157.8333333
POA2601,ACTON,1590.75,383.5,134.75,182.75,94,83,93,41.25,45.25,65.5,62.25,56.75,40,90.5,56
POA2601,MOLONGLO,1590.75,383.5,134.75,182.75,94,83,93,41.25,45.25,65.5,62.25,56.75,40,90.5,56
POA2601,CITY,1590.75,383.5,134.75,182.75,94,83,93,41.25,45.25,65.5,62.25,56.75,40,90.5,56
POA2601,SCULLIN,1590.75,383.5,134.75,182.75,94,83,93,41.25,45.25,65.5,62.25,56.75,40,90.5,56
POA2602,LYNEHAM,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,AINSLIE,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,DICKSON,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,DOWNER,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,O'CONNOR,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,HACKETT,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,CURTIN,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2602,WATSON,3806.25,211.375,117.5,174.125,186.5,198,201.875,178.375,206.375,255,237.375,246.75,169.75,382,168.375
POA2603,GRIFFITH,3119.666667,202.3333333,90,86.33333333,93.33333333,103.6666667,105.3333333,93,122.6666667,192,188.3333333,208.3333333,159.6666667,335,373.6666667
POA2603,FORREST,3119.666667,202.3333333,90,86.33333333,93.33333333,103.6666667,105.3333333,93,122.6666667,192,188.3333333,208.3333333,159.6666667,335,373.6666667
POA2603,RED HILL,3119.666667,202.3333333,90,86.33333333,93.33333333,103.6666667,105.3333333,93,122.6666667,192,188.3333333,208.3333333,159.6666667,335,373.6666667
POA2604,KINGSTON,2355.5,263,121,166.5,164,180,180.5,164,241,331.5,402,422.5,290,689.5,368
POA2604,NARRABUNDAH,2355.5,263,121,166.5,164,180,180.5,164,241,331.5,402,422.5,290,689.5,368
POA2605,GARRAN,3908.333333,225.3333333,134.3333333,135.6666667,132.6666667,175,159.6666667,162.6666667,197,241.6666667,209.6666667,221,167.6666667,415,290
POA2605,HUGHES,3908.333333,225.3333333,134.3333333,135.6666667,132.6666667,175,159.6666667,162.6666667,197,241.6666667,209.6666667,221,167.6666667,415,290
POA2605,FARRER,3908.333333,225.3333333,134.3333333,135.6666667,132.6666667,175,159.6666667,162.6666667,197,241.6666667,209.6666667,221,167.6666667,415,290
POA2606,O'MALLEY,2355.5,153,57.75,81.5,100.25,109,114.25,131.25,146,189,179,159.5,102.75,199.75,99.25
POA2606,PHILLIP,2355.5,153,57.75,81.5,100.25,109,114.25,131.25,146,189,179,159.5,102.75,199.75,99.25
POA2606,LYONS,2355.5,153,57.75,81.5,100.25,109,114.25,131.25,146,189,179,159.5,102.75,199.75,99.25
POA2606,CHIFLEY,2355.5,153,57.75,81.5,100.25,109,114.25,131.25,146,189,179,159.5,102.75,199.75,99.25
POA2607,TORRENS,3403.5,212.25,124.75,142.5,135.25,151.75,162.75,171.75,224.25,251.5,213.25,206.25,149.25,342,175
POA2607,ISAACS,3403.5,212.25,124.75,142.5,135.25,151.75,162.75,171.75,224.25,251.5,213.25,206.25,149.25,342,175
POA2607,MAWSON,3403.5,212.25,124.75,142.5,135.25,151.75,162.75,171.75,224.25,251.5,213.25,206.25,149.25,342,175
POA2607,PEARCE,3403.5,212.25,124.75,142.5,135.25,151.75,162.75,171.75,224.25,251.5,213.25,206.25,149.25,342,175
POA2609,PIALLIGO,221.75,8.75,3.5,11.5,20.25,17.25,13.25,16,18.25,12,9.75,8,5,7,5
POA2609,FYSHWICK,221.75,8.75,3.5,11.5,20.25,17.25,13.25,16,18.25,12,9.75,8,5,7,5
POA2609,CANBERRA AIRPORT,221.75,8.75,3.5,11.5,20.25,17.25,13.25,16,18.25,12,9.75,8,5,7,5
POA2609,SYMONSTON,221.75,8.75,3.5,11.5,20.25,17.25,13.25,16,18.25,12,9.75,8,5,7,5
POA2611,URIARRA VILLAGE,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,DENMAN PROSPECT,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,WRIGHT,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,DUFFY,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,COOMBS,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,RIVETT,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,STIRLING,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,CHAPMAN,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,HOLDER,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,WARAMANGA,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,WESTON,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2611,FISHER,2334.833333,115.75,69.91666667,86.08333333,89.41666667,97.66666667,100.6666667,107.8333333,135.0833333,164.0833333,157.75,158.4166667,113.8333333,229.4166667,93.16666667
POA2612,TURNER,4046,250.5,116,176.25,154,173,223.75,208.75,256.75,339,305.75,303,188.75,396.25,215.5
POA2612,BRADDON,4046,250.5,116,176.25,154,173,223.75,208.75,256.75,339,305.75,303,188.75,396.25,215.5
POA2612,REID,4046,250.5,116,176.25,154,173,223.75,208.75,256.75,339,305.75,303,188.75,396.25,215.5
POA2612,CAMPBELL,4046,250.5,116,176.25,154,173,223.75,208.75,256.75,339,305.75,303,188.75,396.25,215.5
POA2614,ARANDA,3231.666667,193.3333333,113,136,148.1666667,151.3333333,161.8333333,162.3333333,202.5,231.1666667,198.6666667,191.6666667,146.8333333,302.6666667,122.6666667
POA2614,WEETANGERA,3231.666667,193.3333333,113,136,148.1666667,151.3333333,161.8333333,162.3333333,202.5,231.1666667,198.6666667,191.6666667,146.8333333,302.6666667,122.6666667
POA2614,HAWKER,3231.666667,193.3333333,113,136,148.1666667,151.3333333,161.8333333,162.3333333,202.5,231.1666667,198.6666667,191.6666667,146.8333333,302.6666667,122.6666667
POA2614,COOK,3231.666667,193.3333333,113,136,148.1666667,151.3333333,161.8333333,162.3333333,202.5,231.1666667,198.6666667,191.6666667,146.8333333,302.6666667,122.6666667
POA2614,PAGE,3231.666667,193.3333333,113,136,148.1666667,151.3333333,161.8333333,162.3333333,202.5,231.1666667,198.6666667,191.6666667,146.8333333,302.6666667,122.6666667
POA2614,MACQUARIE,3231.666667,193.3333333,113,136,148.1666667,151.3333333,161.8333333,162.3333333,202.5,231.1666667,198.6666667,191.6666667,146.8333333,302.6666667,122.6666667
POA2615,FRASER,4016.090909,239.1818182,130.7272727,171.2727273,181.6363636,183.0909091,192.1818182,215.2727273,257.4545455,332.1818182,281.5454545,261.6363636,170.3636364,281.3636364,66.72727273
POA2615,MACGREGOR,4016.090909,239.1818182,130.7272727,171.2727273,181.6363636,183.0909091,192.1818182,215.2727273,257.4545455,332.1818182,281.5454545,261.6363636,170.3636364,281.3636364,66.72727273
POA2615,FLOREY,4016.090909,239.1818182,130.7272727,171.2727273,181.6363636,183.0909091,192.1818182,215.2727273,257.4545455,332.1818182,281.5454545,261.6363636,170.3636364,281.3636364,66.72727273
POA2615,HOLT,4016.090909,239.1818182,130.7272727,171.2727273,181.6363636,183.0909091,192.1818182,215.2727273,257.4545455,332.1818182,281.5454545,261.6363636,170.3636364,281.3636364,66.72727273
POA2615,FLYNN,4016.090909,239.1818182,130.7272727,171.2727273,181.6363636,183.0909091,192.1818182,215.2727273,257.4545455,332.1818182,281.5454545,261.6363636,170.3636364,281.3636364,66.72727273
POA2615,MELBA,4016.090909,239.1818182,130.7272727,171.2727273,181.6363636,183.0909091,192.1818182,215.2727273,257.4545455,332.1818182,281.5454545,261.6363636,170.3636364,281.3636364,66.72727273
POA2615,LATHAM,4016.090909,239.1818182,130.7272727,171.2727273,181.6363636,183.0909091,192.1818182,215.2727273,257.4545455,332.1818182,281.5454545,261.6363636,170.3636364,281.3636364,66.72727273
POA2615,SPENCE,4016.090909,239.1818182,130.7272727,171.2727273,181.6363636,183.0909091,192.1818182,215.2727273,257.4545455,332.1818182,281.5454545,261.6363636,170.3636364,281.3636364,66.72727273
POA2615,CHARNWOOD,4016.090909,239.1818182,130.7272727,171.2727273,181.6363636,183.0909091,192.1818182,215.2727273,257.4545455,332.1818182,281.5454545,261.6363636,170.3636364,281.3636364,66.72727273
POA2615,HIGGINS,4016.090909,239.1818182,130.7272727,171.2727273,181.6363636,183.0909091,192.1818182,215.2727273,257.4545455,332.1818182,281.5454545,261.6363636,170.3636364,281.3636364,66.72727273
POA2615,DUNLOP,4016.090909,239.1818182,130.7272727,171.2727273,181.6363636,183.0909091,192.1818182,215.2727273,257.4545455,332.1818182,281.5454545,261.6363636,170.3636364,281.3636364,66.72727273
POA2617,KALEEN,4643.285714,385.2857143,154.4285714,225.2857143,212.5714286,224.7142857,250.5714286,258.1428571,285,365.4285714,321.7142857,284.4285714,196.1428571,357.5714286,121.5714286
POA2617,BELCONNEN,4643.285714,385.2857143,154.4285714,225.2857143,212.5714286,224.7142857,250.5714286,258.1428571,285,365.4285714,321.7142857,284.4285714,196.1428571,357.5714286,121.5714286
POA2617,EVATT,4643.285714,385.2857143,154.4285714,225.2857143,212.5714286,224.7142857,250.5714286,258.1428571,285,365.4285714,321.7142857,284.4285714,196.1428571,357.5714286,121.5714286
POA2617,GIRALANG,4643.285714,385.2857143,154.4285714,225.2857143,212.5714286,224.7142857,250.5714286,258.1428571,285,365.4285714,321.7142857,284.4285714,196.1428571,357.5714286,121.5714286
POA2617,MCKELLAR,4643.285714,385.2857143,154.4285714,225.2857143,212.5714286,224.7142857,250.5714286,258.1428571,285,365.4285714,321.7142857,284.4285714,196.1428571,357.5714286,121.5714286
POA2617,BRUCE,4643.285714,385.2857143,154.4285714,225.2857143,212.5714286,224.7142857,250.5714286,258.1428571,285,365.4285714,321.7142857,284.4285714,196.1428571,357.5714286,121.5714286
POA2617,LAWSON,4643.285714,385.2857143,154.4285714,225.2857143,212.5714286,224.7142857,250.5714286,258.1428571,285,365.4285714,321.7142857,284.4285714,196.1428571,357.5714286,121.5714286
POA2618,HALL,1445,61,52,70,68,54,81,68,92,105,69,76,58,90,100
POA2900,GREENWAY,1930,136,37,79,95,74,98,122,129,172,166,132,85,173,75
POA2902,KAMBAH,14900,861,513,658,694,740,732,812,1005,1108,989,870,586,1191,426
POA2903,OXLEY,4603.5,430.5,256.5,329,347,370,366,406,502.5,554,494.5,435,293,595.5,213
POA2903,WANNIASSA,4603.5,430.5,256.5,329,347,370,366,406,502.5,554,494.5,435,293,595.5,213
POA2904,MACARTHUR,3215.75,192,117,125.5,117.25,131.75,146.25,175.5,208.5,244.25,225.5,211,151.5,311,117.5
POA2904,FADDEN,3215.75,192,117,125.5,117.25,131.75,146.25,175.5,208.5,244.25,225.5,211,151.5,311,117.5
POA2904,MONASH,3215.75,192,117,125.5,117.25,131.75,146.25,175.5,208.5,244.25,225.5,211,151.5,311,117.5
POA2904,GOWRIE,3215.75,192,117,125.5,117.25,131.75,146.25,175.5,208.5,244.25,225.5,211,151.5,311,117.5
POA2905,CHISHOLM,4089.285714,255.7142857,130,159,169.2857143,185.2857143,199.7142857,229.4285714,293,340.4285714,297.7142857,278.4285714,170.4285714,294.5714286,76
POA2905,THEODORE,4089.285714,255.7142857,130,159,169.2857143,185.2857143,199.7142857,229.4285714,293,340.4285714,297.7142857,278.4285714,170.4285714,294.5714286,76
POA2905,BONYTHON,4089.285714,255.7142857,130,159,169.2857143,185.2857143,199.7142857,229.4285714,293,340.4285714,297.7142857,278.4285714,170.4285714,294.5714286,76
POA2905,RICHARDSON,4089.285714,255.7142857,130,159,169.2857143,185.2857143,199.7142857,229.4285714,293,340.4285714,297.7142857,278.4285714,170.4285714,294.5714286,76
POA2905,GILMORE,4089.285714,255.7142857,130,159,169.2857143,185.2857143,199.7142857,229.4285714,293,340.4285714,297.7142857,278.4285714,170.4285714,294.5714286,76
POA2905,CALWELL,4089.285714,255.7142857,130,159,169.2857143,185.2857143,199.7142857,229.4285714,293,340.4285714,297.7142857,278.4285714,170.4285714,294.5714286,76
POA2905,ISABELLA PLAINS,4089.285714,255.7142857,130,159,169.2857143,185.2857143,199.7142857,229.4285714,293,340.4285714,297.7142857,278.4285714,170.4285714,294.5714286,76
POA2906,BANKS,5877.666667,373,187.3333333,239,248,240.3333333,264.6666667,311,399,474,446.3333333,407.6666667,226.3333333,477.3333333,112.3333333
POA2906,GORDON,5877.666667,373,187.3333333,239,248,240.3333333,264.6666667,311,399,474,446.3333333,407.6666667,226.3333333,477.3333333,112.3333333
POA2906,CONDER,5877.666667,373,187.3333333,239,248,240.3333333,264.6666667,311,399,474,446.3333333,407.6666667,226.3333333,477.3333333,112.3333333
POA2911,CRACE,2233,165,42,54.5,43.5,42,54,93.5,128,190,170.5,185,122.5,239,82
POA2911,MITCHELL,2233,165,42,54.5,43.5,42,54,93.5,128,190,170.5,185,122.5,239,82
POA2912,GUNGAHLIN,6142,638,165,242,215,203,269,365,390,466,382,336,239,513,147
POA2913,NGUNNAWAL,5842.166667,2595,1116,1313,1243,1195,1430,1676,2173,2677,2546,2344,1548,2912,1043
POA2913,TAYLOR,5842.166667,2595,1116,1313,1243,1195,1430,1676,2173,2677,2546,2344,1548,2912,1043
POA2913,PALMERSTON,5842.166667,2595,1116,1313,1243,1195,1430,1676,2173,2677,2546,2344,1548,2912,1043
POA2913,NICHOLLS,5842.166667,2595,1116,1313,1243,1195,1430,1676,2173,2677,2546,2344,1548,2912,1043
POA2913,CASEY,5842.166667,2595,1116,1313,1243,1195,1430,1676,2173,2677,2546,2344,1548,2912,1043
POA2913,FRANKLIN,5842.166667,2595,1116,1313,1243,1195,1430,1676,2173,2677,2546,2344,1548,2912,1043
POA2914,JACKA,3600.571429,1939,733,734,605,646,803,1011,1361,1702,1651,1611,1171,2434,803
POA2914,FORDE,3600.571429,1939,733,734,605,646,803,1011,1361,1702,1651,1611,1171,2434,803
POA2914,BONNER,3600.571429,1939,733,734,605,646,803,1011,1361,1702,1651,1611,1171,2434,803
POA2914,THROSBY,3600.571429,1939,733,734,605,646,803,1011,1361,1702,1651,1611,1171,2434,803
POA2914,AMAROO,3600.571429,1939,733,734,605,646,803,1011,1361,1702,1651,1611,1171,2434,803
POA2914,HARRISON,3600.571429,1939,733,734,605,646,803,1011,1361,1702,1651,1611,1171,2434,803
POA2914,MONCRIEFF,3600.571429,1939,733,734,605,646,803,1011,1361,1702,1651,1611,1171,2434,803
